gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	protein_id	gene_symbol	product	neg_log10_padj	deg_class	label
gene-ACSAL1_RS02315	6249.289149595815	-3.988787787314784	0.15605109280279314	-25.560780867811964	4.166676938144833e-144	1.4097256974056687e-142	WP_021495090.1	NA	hypothetical protein	141.85086538358024	Down	NA
gene-ACSAL1_RS17435	814.7838325862948	-5.004627658044479	0.19619427903331824	-25.50853002800647	1.5853115701618522e-143	5.308342247304842e-142	WP_015418422.1	racA	chromosome-anchoring protein RacA	141.27504108442776	Down	NA
gene-ACSAL1_RS00895	1030.6724359417597	5.2756938656915455	0.2071631083430125	25.466377232360603	4.649674413019253e-143	1.5410349483149524e-141	WP_032872237.1	truA	tRNA pseudouridine(38-40) synthase TruA	140.81218751203548	Up	NA
gene-ACSAL1_RS05680	1739.0127966278746	-5.174778373552833	0.20430405026211176	-25.328809521464965	1.5386658465669182e-141	5.0480673430801515e-140	WP_106067873.1	argD	acetylornithine transaminase	139.2968748600767	Down	NA
gene-ACSAL1_RS18370	1785.9830136458406	-4.048792354419178	0.1628833731140514	-24.857002142165868	2.172225227097735e-136	7.055387537613442e-135	WP_014419237.1	galE	UDP-glucose 4-epimerase GalE	134.15147912637107	Down	NA
gene-ACSAL1_RS13060	1742.6062688038362	-6.099992075759353	0.24666394697709157	-24.729970271358212	5.092847018677763e-135	1.6377789224421163e-133	WP_007408121.1	NA	electron transfer flavoprotein subunit beta/FixA family protein	132.7857447223823	Down	NA
gene-ACSAL1_RS15005	810.0825264352811	-4.7305974059679565	0.19180606559303656	-24.663440081217633	2.640619469308412e-134	8.408560819915414e-133	WP_209387557.1	NA	S9 family peptidase	132.0752783301777	Down	NA
gene-ACSAL1_RS07610	1067.4833158517602	-8.724601464118427	0.35380551650734987	-24.65931438900327	2.923921039201272e-134	9.220286927500712e-133	WP_014417699.1	coxB	cytochrome c oxidase subunit II	132.03525556386055	Down	NA
gene-ACSAL1_RS07595	3688.252687340875	-3.638802620322213	0.14805871839423415	-24.576753465022016	2.239316699076506e-133	6.993558306346627e-132	WP_167409073.1	pyc	pyruvate carboxylase	131.15530179998984	Down	NA
gene-ACSAL1_RS09340	1778.2377121300874	-3.931865011062726	0.1601622899298878	-24.549255712964197	4.404884250439493e-133	1.3625775281359495e-131	WP_209388296.1	xynC	glucuronoarabinoxylan endo-1%2C4-beta-xylanase XynC	130.86563877779722	Down	NA
